Category,Content ID,Year,Quarter,Month,Day,Reaction type,Count of Index,Score,Sentiment,Type
Animals,0c2bd955-f00f-4c2f-8999-7cc0ada4b3e7,2021,Qtr 1,March,9,Scared,1,15,Negative,Photo
Animals,0c2bd955-f00f-4c2f-8999-7cc0ada4b3e7,2021,Qtr 1,March,21,Hate,1,5,Negative,Photo
Animals,0c2bd955-f00f-4c2f-8999-7cc0ada4b3e7,2021,Qtr 2,April,4,Want,1,70,Positive,Photo
Animals,0c2bd955-f00f-4c2f-8999-7cc0ada4b3e7,2021,Qtr 2,May,3,Scared,1,15,Negative,Photo
Animals,0c2bd955-f00f-4c2f-8999-7cc0ada4b3e7,2021,Qtr 2,May,9,Scared,1,15,Negative,Photo
Animals,0c2bd955-f00f-4c2f-8999-7cc0ada4b3e7,2021,Qtr 2,May,30,Peeking,1,35,Neutral,Photo
Animals,0c2bd955-f00f-4c2f-8999-7cc0ada4b3e7,2021,Qtr 2,June,6,Interested,1,30,Positive,Photo
Animals,0c6e8e2a-7692-4490-b545-f76b0d06697a,2020,Qtr 2,June,19,Indifferent,1,20,Neutral,Photo
Animals,0c6e8e2a-7692-4490-b545-f76b0d06697a,2020,Qtr 2,June,23,Cherish,1,70,Positive,Photo
Animals,0c6e8e2a-7692-4490-b545-f76b0d06697a,2020,Qtr 3,September,4,Indifferent,1,20,Neutral,Photo
Animals,0c6e8e2a-7692-4490-b545-f76b0d06697a,2020,Qtr 3,September,10,Like,1,50,Positive,Photo
Animals,0c6e8e2a-7692-4490-b545-f76b0d06697a,2020,Qtr 3,September,15,Want,1,70,Positive,Photo
Animals,0c6e8e2a-7692-4490-b545-f76b0d06697a,2020,Qtr 4,October,29,Love,1,65,Positive,Photo
Animals,0c6e8e2a-7692-4490-b545-f76b0d06697a,2020,Qtr 4,October,29,Peeking,1,35,Neutral,Photo
Animals,0c6e8e2a-7692-4490-b545-f76b0d06697a,2020,Qtr 4,November,10,Scared,1,15,Negative,Photo
Animals,0c6e8e2a-7692-4490-b545-f76b0d06697a,2020,Qtr 4,November,20,Want,1,70,Positive,Photo
Animals,0c6e8e2a-7692-4490-b545-f76b0d06697a,2020,Qtr 4,November,23,Cherish,1,70,Positive,Photo
Animals,0c6e8e2a-7692-4490-b545-f76b0d06697a,2020,Qtr 4,November,26,Interested,1,30,Positive,Photo
Animals,0c6e8e2a-7692-4490-b545-f76b0d06697a,2020,Qtr 4,December,4,Hate,1,5,Negative,Photo
Animals,0c6e8e2a-7692-4490-b545-f76b0d06697a,2020,Qtr 4,December,7,Cherish,1,70,Positive,Photo
Animals,0c6e8e2a-7692-4490-b545-f76b0d06697a,2020,Qtr 4,December,8,Scared,1,15,Negative,Photo
Animals,0c6e8e2a-7692-4490-b545-f76b0d06697a,2020,Qtr 4,December,22,Like,1,50,Positive,Photo
Animals,0c6e8e2a-7692-4490-b545-f76b0d06697a,2020,Qtr 4,December,24,Intrigued,1,45,Positive,Photo
Animals,0c6e8e2a-7692-4490-b545-f76b0d06697a,2020,Qtr 4,December,26,Super Love,1,75,Positive,Photo
Animals,0c6e8e2a-7692-4490-b545-f76b0d06697a,2021,Qtr 1,January,13,Intrigued,1,45,Positive,Photo
Animals,0c6e8e2a-7692-4490-b545-f76b0d06697a,2021,Qtr 1,January,15,Intrigued,1,45,Positive,Photo
Animals,0c6e8e2a-7692-4490-b545-f76b0d06697a,2021,Qtr 1,January,16,Cherish,1,70,Positive,Photo
Animals,0c6e8e2a-7692-4490-b545-f76b0d06697a,2021,Qtr 1,January,24,Scared,1,15,Negative,Photo
Animals,0c6e8e2a-7692-4490-b545-f76b0d06697a,2021,Qtr 1,February,4,Super Love,1,75,Positive,Photo
Animals,0c6e8e2a-7692-4490-b545-f76b0d06697a,2021,Qtr 1,February,20,Want,1,70,Positive,Photo
Animals,0c6e8e2a-7692-4490-b545-f76b0d06697a,2021,Qtr 1,February,25,Disgust,1,0,Negative,Photo
Animals,0c6e8e2a-7692-4490-b545-f76b0d06697a,2021,Qtr 1,March,7,Indifferent,1,20,Neutral,Photo
Animals,0c6e8e2a-7692-4490-b545-f76b0d06697a,2021,Qtr 1,March,31,Disgust,1,0,Negative,Photo
Animals,0c6e8e2a-7692-4490-b545-f76b0d06697a,2021,Qtr 2,April,8,Hate,1,5,Negative,Photo
Animals,0c6e8e2a-7692-4490-b545-f76b0d06697a,2021,Qtr 2,April,26,Super Love,1,75,Positive,Photo
Animals,0c6e8e2a-7692-4490-b545-f76b0d06697a,2021,Qtr 2,May,1,Like,1,50,Positive,Photo
Animals,0c6e8e2a-7692-4490-b545-f76b0d06697a,2021,Qtr 2,May,16,Dislike,1,10,Negative,Photo
Animals,0c6e8e2a-7692-4490-b545-f76b0d06697a,2021,Qtr 2,May,19,Super Love,1,75,Positive,Photo
Animals,0c6e8e2a-7692-4490-b545-f76b0d06697a,2021,Qtr 2,May,31,Interested,1,30,Positive,Photo
Animals,0c6e8e2a-7692-4490-b545-f76b0d06697a,2021,Qtr 2,June,7,Scared,1,15,Negative,Photo
Animals,18cb1ce7-fb66-4a56-8042-e38c9593ade1,2020,Qtr 2,June,20,Peeking,1,35,Neutral,Photo
Animals,18cb1ce7-fb66-4a56-8042-e38c9593ade1,2020,Qtr 2,June,22,Adore,1,72,Positive,Photo
Animals,18cb1ce7-fb66-4a56-8042-e38c9593ade1,2020,Qtr 3,July,13,Peeking,1,35,Neutral,Photo
Animals,18cb1ce7-fb66-4a56-8042-e38c9593ade1,2020,Qtr 3,July,18,Peeking,1,35,Neutral,Photo
Animals,18cb1ce7-fb66-4a56-8042-e38c9593ade1,2020,Qtr 3,July,24,Heart,1,60,Positive,Photo
Animals,18cb1ce7-fb66-4a56-8042-e38c9593ade1,2020,Qtr 3,August,10,Indifferent,1,20,Neutral,Photo
Animals,18cb1ce7-fb66-4a56-8042-e38c9593ade1,2020,Qtr 3,August,21,Dislike,1,10,Negative,Photo
Animals,18cb1ce7-fb66-4a56-8042-e38c9593ade1,2020,Qtr 3,August,25,Cherish,1,70,Positive,Photo
Animals,18cb1ce7-fb66-4a56-8042-e38c9593ade1,2020,Qtr 3,August,28,Dislike,1,10,Negative,Photo
Animals,18cb1ce7-fb66-4a56-8042-e38c9593ade1,2020,Qtr 3,August,31,Cherish,1,70,Positive,Photo
Animals,18cb1ce7-fb66-4a56-8042-e38c9593ade1,2020,Qtr 3,September,11,Like,1,50,Positive,Photo
Animals,18cb1ce7-fb66-4a56-8042-e38c9593ade1,2020,Qtr 3,September,12,Love,1,65,Positive,Photo
Animals,18cb1ce7-fb66-4a56-8042-e38c9593ade1,2020,Qtr 3,September,27,Disgust,1,0,Negative,Photo
Animals,18cb1ce7-fb66-4a56-8042-e38c9593ade1,2020,Qtr 3,September,29,Peeking,1,35,Neutral,Photo
Animals,18cb1ce7-fb66-4a56-8042-e38c9593ade1,2020,Qtr 4,October,10,Love,1,65,Positive,Photo
Animals,18cb1ce7-fb66-4a56-8042-e38c9593ade1,2020,Qtr 4,October,20,Cherish,1,70,Positive,Photo
Animals,18cb1ce7-fb66-4a56-8042-e38c9593ade1,2020,Qtr 4,October,21,Scared,1,15,Negative,Photo
Animals,18cb1ce7-fb66-4a56-8042-e38c9593ade1,2020,Qtr 4,October,23,Adore,1,72,Positive,Photo
Animals,18cb1ce7-fb66-4a56-8042-e38c9593ade1,2020,Qtr 4,October,24,Super Love,1,75,Positive,Photo
Animals,18cb1ce7-fb66-4a56-8042-e38c9593ade1,2020,Qtr 4,October,26,Disgust,1,0,Negative,Photo
Animals,18cb1ce7-fb66-4a56-8042-e38c9593ade1,2020,Qtr 4,October,31,Like,1,50,Positive,Photo
Animals,18cb1ce7-fb66-4a56-8042-e38c9593ade1,2020,Qtr 4,November,3,Dislike,1,10,Negative,Photo
Animals,18cb1ce7-fb66-4a56-8042-e38c9593ade1,2020,Qtr 4,November,17,Disgust,1,0,Negative,Photo
Animals,18cb1ce7-fb66-4a56-8042-e38c9593ade1,2020,Qtr 4,November,17,Scared,1,15,Negative,Photo
Animals,18cb1ce7-fb66-4a56-8042-e38c9593ade1,2020,Qtr 4,November,27,Worried,1,12,Negative,Photo
Animals,18cb1ce7-fb66-4a56-8042-e38c9593ade1,2020,Qtr 4,December,4,Adore,1,72,Positive,Photo
Animals,18cb1ce7-fb66-4a56-8042-e38c9593ade1,2020,Qtr 4,December,7,Cherish,1,70,Positive,Photo
Animals,18cb1ce7-fb66-4a56-8042-e38c9593ade1,2020,Qtr 4,December,9,Want,1,70,Positive,Photo
Animals,18cb1ce7-fb66-4a56-8042-e38c9593ade1,2020,Qtr 4,December,15,Dislike,1,10,Negative,Photo
Animals,18cb1ce7-fb66-4a56-8042-e38c9593ade1,2020,Qtr 4,December,28,Like,1,50,Positive,Photo
Animals,18cb1ce7-fb66-4a56-8042-e38c9593ade1,2020,Qtr 4,December,31,Intrigued,1,45,Positive,Photo
Animals,18cb1ce7-fb66-4a56-8042-e38c9593ade1,2021,Qtr 1,January,12,Intrigued,1,45,Positive,Photo
Animals,18cb1ce7-fb66-4a56-8042-e38c9593ade1,2021,Qtr 1,January,20,Hate,1,5,Negative,Photo
Animals,18cb1ce7-fb66-4a56-8042-e38c9593ade1,2021,Qtr 1,February,16,Interested,1,30,Positive,Photo
Animals,18cb1ce7-fb66-4a56-8042-e38c9593ade1,2021,Qtr 1,March,1,Interested,1,30,Positive,Photo
Animals,18cb1ce7-fb66-4a56-8042-e38c9593ade1,2021,Qtr 1,March,25,Like,1,50,Positive,Photo
Animals,18cb1ce7-fb66-4a56-8042-e38c9593ade1,2021,Qtr 1,March,29,Like,1,50,Positive,Photo
Animals,18cb1ce7-fb66-4a56-8042-e38c9593ade1,2021,Qtr 2,April,13,Peeking,1,35,Neutral,Photo
Animals,18cb1ce7-fb66-4a56-8042-e38c9593ade1,2021,Qtr 2,May,2,Want,1,70,Positive,Photo
Animals,18cb1ce7-fb66-4a56-8042-e38c9593ade1,2021,Qtr 2,May,16,Indifferent,1,20,Neutral,Photo
Animals,18cb1ce7-fb66-4a56-8042-e38c9593ade1,2021,Qtr 2,May,29,Super Love,1,75,Positive,Photo
Animals,18cb1ce7-fb66-4a56-8042-e38c9593ade1,2021,Qtr 2,May,29,Want,1,70,Positive,Photo
Animals,18cb1ce7-fb66-4a56-8042-e38c9593ade1,2021,Qtr 2,June,2,Interested,1,30,Positive,Photo
Animals,18cb1ce7-fb66-4a56-8042-e38c9593ade1,2021,Qtr 2,June,18,Peeking,1,35,Neutral,Photo
Animals,1b7d1f70-21dd-483b-b395-e15f4c2368f1,2020,Qtr 2,June,19,Like,1,50,Positive,Photo
Animals,1b7d1f70-21dd-483b-b395-e15f4c2368f1,2020,Qtr 3,July,11,Love,1,65,Positive,Photo
Animals,1b7d1f70-21dd-483b-b395-e15f4c2368f1,2020,Qtr 3,September,26,Interested,1,30,Positive,Photo
Animals,1b7d1f70-21dd-483b-b395-e15f4c2368f1,2020,Qtr 3,September,26,Super Love,1,75,Positive,Photo
Animals,1b7d1f70-21dd-483b-b395-e15f4c2368f1,2020,Qtr 4,October,17,Worried,1,12,Negative,Photo
Animals,1b7d1f70-21dd-483b-b395-e15f4c2368f1,2020,Qtr 4,October,19,Dislike,1,10,Negative,Photo
Animals,1b7d1f70-21dd-483b-b395-e15f4c2368f1,2020,Qtr 4,December,14,Disgust,1,0,Negative,Photo
Animals,1b7d1f70-21dd-483b-b395-e15f4c2368f1,2020,Qtr 4,December,14,Super Love,1,75,Positive,Photo
Animals,1b7d1f70-21dd-483b-b395-e15f4c2368f1,2021,Qtr 1,January,12,Cherish,1,70,Positive,Photo
Animals,1b7d1f70-21dd-483b-b395-e15f4c2368f1,2021,Qtr 1,January,31,Super Love,1,75,Positive,Photo
Animals,1b7d1f70-21dd-483b-b395-e15f4c2368f1,2021,Qtr 1,February,15,Intrigued,1,45,Positive,Photo
Animals,1b7d1f70-21dd-483b-b395-e15f4c2368f1,2021,Qtr 2,April,20,Disgust,1,0,Negative,Photo
Animals,1b7d1f70-21dd-483b-b395-e15f4c2368f1,2021,Qtr 2,April,23,Super Love,1,75,Positive,Photo
Animals,1b7d1f70-21dd-483b-b395-e15f4c2368f1,2021,Qtr 2,May,7,Indifferent,1,20,Neutral,Photo
Animals,1b7d1f70-21dd-483b-b395-e15f4c2368f1,2021,Qtr 2,May,23,Love,1,65,Positive,Photo
Animals,1b7d1f70-21dd-483b-b395-e15f4c2368f1,2021,Qtr 2,June,13,Scared,1,15,Negative,Photo
Animals,1b7d1f70-21dd-483b-b395-e15f4c2368f1,2021,Qtr 2,June,14,Disgust,1,0,Negative,Photo
Animals,1f0ed2b8-8531-416f-b694-a40a63f378a0,2020,Qtr 2,June,24,Indifferent,1,20,Neutral,Photo
Animals,1f0ed2b8-8531-416f-b694-a40a63f378a0,2020,Qtr 3,July,23,Hate,1,5,Negative,Photo
Animals,1f0ed2b8-8531-416f-b694-a40a63f378a0,2020,Qtr 3,July,29,Want,1,70,Positive,Photo
Animals,1f0ed2b8-8531-416f-b694-a40a63f378a0,2020,Qtr 3,August,16,Adore,1,72,Positive,Photo
Animals,1f0ed2b8-8531-416f-b694-a40a63f378a0,2020,Qtr 3,August,25,Hate,1,5,Negative,Photo
Animals,1f0ed2b8-8531-416f-b694-a40a63f378a0,2020,Qtr 3,September,17,Intrigued,1,45,Positive,Photo
Animals,1f0ed2b8-8531-416f-b694-a40a63f378a0,2020,Qtr 3,September,22,Cherish,1,70,Positive,Photo
Animals,1f0ed2b8-8531-416f-b694-a40a63f378a0,2020,Qtr 3,September,26,Worried,1,12,Negative,Photo
Animals,1f0ed2b8-8531-416f-b694-a40a63f378a0,2020,Qtr 4,October,4,Super Love,1,75,Positive,Photo
Animals,1f0ed2b8-8531-416f-b694-a40a63f378a0,2020,Qtr 4,October,18,Love,1,65,Positive,Photo
Animals,1f0ed2b8-8531-416f-b694-a40a63f378a0,2020,Qtr 4,October,21,Scared,1,15,Negative,Photo
Animals,1f0ed2b8-8531-416f-b694-a40a63f378a0,2020,Qtr 4,October,26,Peeking,1,35,Neutral,Photo
Animals,1f0ed2b8-8531-416f-b694-a40a63f378a0,2020,Qtr 4,November,5,Cherish,1,70,Positive,Photo
Animals,1f0ed2b8-8531-416f-b694-a40a63f378a0,2020,Qtr 4,November,21,Disgust,1,0,Negative,Photo
Animals,1f0ed2b8-8531-416f-b694-a40a63f378a0,2020,Qtr 4,December,4,Heart,1,60,Positive,Photo
Animals,1f0ed2b8-8531-416f-b694-a40a63f378a0,2020,Qtr 4,December,9,Love,1,65,Positive,Photo
Animals,1f0ed2b8-8531-416f-b694-a40a63f378a0,2020,Qtr 4,December,13,Heart,1,60,Positive,Photo
Animals,1f0ed2b8-8531-416f-b694-a40a63f378a0,2020,Qtr 4,December,25,Want,1,70,Positive,Photo
Animals,1f0ed2b8-8531-416f-b694-a40a63f378a0,2020,Qtr 4,December,26,Love,1,65,Positive,Photo
Animals,1f0ed2b8-8531-416f-b694-a40a63f378a0,2021,Qtr 1,January,15,Like,1,50,Positive,Photo
Animals,1f0ed2b8-8531-416f-b694-a40a63f378a0,2021,Qtr 1,February,28,Cherish,1,70,Positive,Photo
Animals,1f0ed2b8-8531-416f-b694-a40a63f378a0,2021,Qtr 1,March,1,Love,1,65,Positive,Photo
Animals,1f0ed2b8-8531-416f-b694-a40a63f378a0,2021,Qtr 1,March,12,Worried,1,12,Negative,Photo
Animals,1f0ed2b8-8531-416f-b694-a40a63f378a0,2021,Qtr 1,March,26,Cherish,1,70,Positive,Photo
Animals,1f0ed2b8-8531-416f-b694-a40a63f378a0,2021,Qtr 1,March,27,Scared,1,15,Negative,Photo
Animals,1f0ed2b8-8531-416f-b694-a40a63f378a0,2021,Qtr 2,April,22,Dislike,1,10,Negative,Photo
Animals,1f0ed2b8-8531-416f-b694-a40a63f378a0,2021,Qtr 2,May,26,Scared,1,15,Negative,Photo
Animals,1f0ed2b8-8531-416f-b694-a40a63f378a0,2021,Qtr 2,May,30,Scared,1,15,Negative,Photo
Animals,1f0ed2b8-8531-416f-b694-a40a63f378a0,2021,Qtr 2,June,4,Intrigued,1,45,Positive,Photo
Animals,21bc508c-dd96-4fb1-b8a1-a92bef9fa666,2020,Qtr 3,July,13,Intrigued,1,45,Positive,Photo
Animals,21bc508c-dd96-4fb1-b8a1-a92bef9fa666,2020,Qtr 3,July,24,Like,1,50,Positive,Photo
Animals,21bc508c-dd96-4fb1-b8a1-a92bef9fa666,2020,Qtr 3,August,19,Worried,1,12,Negative,Photo
Animals,21bc508c-dd96-4fb1-b8a1-a92bef9fa666,2020,Qtr 4,November,11,Love,1,65,Positive,Photo
Animals,21bc508c-dd96-4fb1-b8a1-a92bef9fa666,2020,Qtr 4,November,22,Dislike,1,10,Negative,Photo
Animals,21bc508c-dd96-4fb1-b8a1-a92bef9fa666,2020,Qtr 4,December,31,Want,1,70,Positive,Photo
Animals,21bc508c-dd96-4fb1-b8a1-a92bef9fa666,2021,Qtr 1,January,10,Dislike,1,10,Negative,Photo
Animals,21bc508c-dd96-4fb1-b8a1-a92bef9fa666,2021,Qtr 1,January,31,Want,1,70,Positive,Photo
Animals,21bc508c-dd96-4fb1-b8a1-a92bef9fa666,2021,Qtr 1,February,3,Want,1,70,Positive,Photo
Animals,21bc508c-dd96-4fb1-b8a1-a92bef9fa666,2021,Qtr 1,February,27,Heart,1,60,Positive,Photo
Animals,21bc508c-dd96-4fb1-b8a1-a92bef9fa666,2021,Qtr 1,March,4,Peeking,1,35,Neutral,Photo
Animals,21bc508c-dd96-4fb1-b8a1-a92bef9fa666,2021,Qtr 1,March,26,Scared,1,15,Negative,Photo
Animals,21bc508c-dd96-4fb1-b8a1-a92bef9fa666,2021,Qtr 2,April,17,Adore,1,72,Positive,Photo
Animals,21bc508c-dd96-4fb1-b8a1-a92bef9fa666,2021,Qtr 2,May,11,Heart,1,60,Positive,Photo
Animals,21bc508c-dd96-4fb1-b8a1-a92bef9fa666,2021,Qtr 2,May,27,Want,1,70,Positive,Photo
Animals,21bc508c-dd96-4fb1-b8a1-a92bef9fa666,2021,Qtr 2,May,28,Indifferent,1,20,Neutral,Photo
Animals,21bc508c-dd96-4fb1-b8a1-a92bef9fa666,2021,Qtr 2,May,31,Peeking,1,35,Neutral,Photo
Animals,21bc508c-dd96-4fb1-b8a1-a92bef9fa666,2021,Qtr 2,June,13,Cherish,1,70,Positive,Photo
Animals,21bc508c-dd96-4fb1-b8a1-a92bef9fa666,2021,Qtr 2,June,13,Heart,1,60,Positive,Photo
Animals,21bc508c-dd96-4fb1-b8a1-a92bef9fa666,2021,Qtr 2,June,15,Cherish,1,70,Positive,Photo
Animals,273cb565-8c43-428e-bd2b-46ae0c2ae046,2020,Qtr 2,June,27,Scared,1,15,Negative,Gif
Animals,273cb565-8c43-428e-bd2b-46ae0c2ae046,2020,Qtr 2,June,30,Interested,1,30,Positive,Gif
Animals,273cb565-8c43-428e-bd2b-46ae0c2ae046,2020,Qtr 3,August,11,Heart,1,60,Positive,Gif
Animals,273cb565-8c43-428e-bd2b-46ae0c2ae046,2020,Qtr 3,August,22,Worried,1,12,Negative,Gif
Animals,273cb565-8c43-428e-bd2b-46ae0c2ae046,2020,Qtr 3,September,5,Worried,1,12,Negative,Gif
Animals,273cb565-8c43-428e-bd2b-46ae0c2ae046,2020,Qtr 3,September,9,Dislike,1,10,Negative,Gif
Animals,273cb565-8c43-428e-bd2b-46ae0c2ae046,2020,Qtr 4,October,18,Want,1,70,Positive,Gif
Animals,273cb565-8c43-428e-bd2b-46ae0c2ae046,2020,Qtr 4,November,13,Peeking,1,35,Neutral,Gif
Animals,273cb565-8c43-428e-bd2b-46ae0c2ae046,2020,Qtr 4,December,16,Interested,1,30,Positive,Gif
Animals,273cb565-8c43-428e-bd2b-46ae0c2ae046,2020,Qtr 4,December,19,Peeking,1,35,Neutral,Gif
Animals,273cb565-8c43-428e-bd2b-46ae0c2ae046,2020,Qtr 4,December,24,Hate,1,5,Negative,Gif
Animals,273cb565-8c43-428e-bd2b-46ae0c2ae046,2020,Qtr 4,December,26,Scared,1,15,Negative,Gif
Animals,273cb565-8c43-428e-bd2b-46ae0c2ae046,2021,Qtr 1,January,6,Disgust,1,0,Negative,Gif
Animals,273cb565-8c43-428e-bd2b-46ae0c2ae046,2021,Qtr 1,January,6,Peeking,1,35,Neutral,Gif
Animals,273cb565-8c43-428e-bd2b-46ae0c2ae046,2021,Qtr 1,February,27,Hate,1,5,Negative,Gif
Animals,273cb565-8c43-428e-bd2b-46ae0c2ae046,2021,Qtr 1,March,12,Indifferent,1,20,Neutral,Gif
Animals,273cb565-8c43-428e-bd2b-46ae0c2ae046,2021,Qtr 2,April,15,Indifferent,1,20,Neutral,Gif
Animals,273cb565-8c43-428e-bd2b-46ae0c2ae046,2021,Qtr 2,May,20,Dislike,1,10,Negative,Gif
Animals,273cb565-8c43-428e-bd2b-46ae0c2ae046,2021,Qtr 2,May,23,Dislike,1,10,Negative,Gif
Animals,273cb565-8c43-428e-bd2b-46ae0c2ae046,2021,Qtr 2,May,24,Love,1,65,Positive,Gif
Animals,273cb565-8c43-428e-bd2b-46ae0c2ae046,2021,Qtr 2,June,17,Hate,1,5,Negative,Gif
Animals,27ec2b21-a749-4181-b182-150a174fc277,2020,Qtr 2,June,22,Like,1,50,Positive,Gif
Animals,27ec2b21-a749-4181-b182-150a174fc277,2020,Qtr 3,August,17,Like,1,50,Positive,Gif
Animals,27ec2b21-a749-4181-b182-150a174fc277,2020,Qtr 3,August,28,Interested,1,30,Positive,Gif
Animals,27ec2b21-a749-4181-b182-150a174fc277,2020,Qtr 3,September,10,Intrigued,1,45,Positive,Gif
Animals,27ec2b21-a749-4181-b182-150a174fc277,2020,Qtr 3,September,29,Disgust,1,0,Negative,Gif
Animals,27ec2b21-a749-4181-b182-150a174fc277,2020,Qtr 4,October,6,Like,1,50,Positive,Gif
Animals,27ec2b21-a749-4181-b182-150a174fc277,2020,Qtr 4,October,20,Want,1,70,Positive,Gif
Animals,27ec2b21-a749-4181-b182-150a174fc277,2020,Qtr 4,October,21,Like,1,50,Positive,Gif
Animals,27ec2b21-a749-4181-b182-150a174fc277,2020,Qtr 4,October,26,Hate,1,5,Negative,Gif
Animals,27ec2b21-a749-4181-b182-150a174fc277,2020,Qtr 4,October,27,Cherish,1,70,Positive,Gif
Animals,27ec2b21-a749-4181-b182-150a174fc277,2020,Qtr 4,November,6,Heart,1,60,Positive,Gif
Animals,27ec2b21-a749-4181-b182-150a174fc277,2020,Qtr 4,November,6,Interested,1,30,Positive,Gif
Animals,27ec2b21-a749-4181-b182-150a174fc277,2020,Qtr 4,November,9,Heart,1,60,Positive,Gif
Animals,27ec2b21-a749-4181-b182-150a174fc277,2020,Qtr 4,November,9,Want,1,70,Positive,Gif
Animals,27ec2b21-a749-4181-b182-150a174fc277,2020,Qtr 4,November,11,Cherish,1,70,Positive,Gif
Animals,27ec2b21-a749-4181-b182-150a174fc277,2020,Qtr 4,November,11,Super Love,1,75,Positive,Gif
Animals,27ec2b21-a749-4181-b182-150a174fc277,2020,Qtr 4,November,20,Peeking,1,35,Neutral,Gif
Animals,27ec2b21-a749-4181-b182-150a174fc277,2020,Qtr 4,November,27,Adore,1,72,Positive,Gif
Animals,27ec2b21-a749-4181-b182-150a174fc277,2020,Qtr 4,December,2,Super Love,1,75,Positive,Gif
Animals,27ec2b21-a749-4181-b182-150a174fc277,2020,Qtr 4,December,28,Worried,1,12,Negative,Gif
Animals,27ec2b21-a749-4181-b182-150a174fc277,2020,Qtr 4,December,29,Adore,1,72,Positive,Gif
Animals,27ec2b21-a749-4181-b182-150a174fc277,2021,Qtr 1,January,31,Intrigued,1,45,Positive,Gif
Animals,27ec2b21-a749-4181-b182-150a174fc277,2021,Qtr 1,February,16,Intrigued,1,45,Positive,Gif
Animals,27ec2b21-a749-4181-b182-150a174fc277,2021,Qtr 1,February,22,Intrigued,1,45,Positive,Gif
Animals,27ec2b21-a749-4181-b182-150a174fc277,2021,Qtr 1,March,1,Disgust,1,0,Negative,Gif
